pcd_file,weight,point_count,rounded_weight,mean_point_count_by_weight,point_count_percentage_deviation
1_split0_strawberry_dyson_lincoln_tbd__034_3.pcd,17.3,2483,17.0,5180.464566929134,-52.069935660772835
1_split0_strawberry_dyson_lincoln_tbd__035_3.pcd,15.6,4216,16.0,5286.2164179104475,-20.245414362612987
1_split0_strawberry_dyson_lincoln_tbd__036_2.pcd,15.9,4277,16.0,5286.2164179104475,-19.091469930952503
1_split0_strawberry_dyson_lincoln_tbd__036_3.pcd,15.9,3849,16.0,5286.2164179104475,-27.1879980744064
1_split0_strawberry_dyson_lincoln_tbd__037_3.pcd,22.6,3922,23.0,5770.346534653465,-32.031811669426304
1_split0_strawberry_dyson_lincoln_tbd__038_3.pcd,11.1,2648,11.0,4041.072463768116,-34.47284047139158
1_split0_strawberry_dyson_lincoln_tbd__039_3.pcd,31.2,5188,31.0,6621.375,-21.647694021256914
1_split0_strawberry_dyson_lincoln_tbd__042_3.pcd,14.4,2866,14.0,4591.616279069767,-37.581892174564864
1_split0_strawberry_dyson_lincoln_tbd__043_1.pcd,16.7,4192,17.0,5180.464566929134,-19.080616306870603
1_split0_strawberry_dyson_lincoln_tbd__043_3.pcd,16.7,547,17.0,5180.464566929134,-89.44110141217992
1_split0_strawberry_dyson_lincoln_tbd__045_3.pcd,11.1,1411,11.0,4041.072463768116,-65.08352639921961
1_split0_strawberry_dyson_lincoln_tbd__047_1.pcd,19.4,4362,19.0,5906.920863309352,-26.15441952008496
1_split0_strawberry_dyson_lincoln_tbd__047_3.pcd,19.4,4810,19.0,5906.920863309352,-18.570095802753013
1_split0_strawberry_dyson_lincoln_tbd__048_3.pcd,30.4,4267,30.0,6917.291666666667,-38.3140077703822
1_split0_strawberry_dyson_lincoln_tbd__049_3.pcd,22.1,3850,22.0,6256.660130718954,-38.46557237307381
1_split0_strawberry_dyson_lincoln_tbd__051_3.pcd,23.8,3954,24.0,6770.083333333333,-41.59599217144053
1_split0_strawberry_dyson_lincoln_tbd__054_3.pcd,22.1,1139,22.0,6256.660130718954,-81.79539920335873
1_split0_strawberry_dyson_lincoln_tbd__055_2.pcd,24.0,5724,24.0,6770.083333333333,-15.451557711007984
1_split0_strawberry_dyson_lincoln_tbd__055_3.pcd,24.0,5214,24.0,6770.083333333333,-22.98469984367499
1_split0_strawberry_dyson_lincoln_tbd__056_3.pcd,20.3,4588,20.0,5588.3515625,-17.900655520900756
1_split0_strawberry_dyson_lincoln_tbd__058_2.pcd,7.4,2718,7.0,3226.777777777778,-15.767363382803623
1_split0_strawberry_dyson_lincoln_tbd__058_3.pcd,7.4,1728,7.0,3226.777777777778,-46.4481250645639
1_split0_strawberry_dyson_lincoln_tbd__059_2.pcd,7.9,3124,8.0,3975.866666666667,-21.42593648345015
1_split0_strawberry_dyson_lincoln_tbd__059_3.pcd,7.9,2722,8.0,3975.866666666667,-31.536939535195685
1_split0_strawberry_dyson_lincoln_tbd__061_1.pcd,31.0,5145,31.0,6621.375,-22.297105963640483
1_split0_strawberry_dyson_lincoln_tbd__061_2.pcd,31.0,4052,31.0,6621.375,-38.80425138283211
1_split0_strawberry_dyson_lincoln_tbd__061_3.pcd,31.0,5300,31.0,6621.375,-19.956202450397388
1_split0_strawberry_dyson_lincoln_tbd__063_3.pcd,19.8,2402,20.0,5588.3515625,-57.01773639084647
1_split0_strawberry_dyson_lincoln_tbd__064_2.pcd,15.3,2612,15.0,5259.9473684210525,-50.34170844214971
1_split0_strawberry_dyson_lincoln_tbd__064_3.pcd,15.3,791,15.0,5259.9473684210525,-84.96182671429573
1_split0_strawberry_dyson_lincoln_tbd__065_2.pcd,12.0,3697,12.0,4447.119047619048,-16.867527934082528
1_split0_strawberry_dyson_lincoln_tbd__065_3.pcd,12.0,3038,12.0,4447.119047619048,-31.686110322894972
1_split0_strawberry_dyson_lincoln_tbd__067_3.pcd,18.8,4178,19.0,5906.920863309352,-29.269409618274867
1_split0_strawberry_dyson_lincoln_tbd__068_3.pcd,8.9,2596,9.0,3774.3333333333335,-31.219641437781508
1_split0_strawberry_dyson_lincoln_tbd__069_3.pcd,18.9,3381,19.0,5906.920863309352,-42.762056945760484
1_split0_strawberry_dyson_lincoln_tbd__070_3.pcd,28.7,4237,29.0,6919.952380952381,-38.77125496321885
1_split0_strawberry_dyson_lincoln_tbd__072_3.pcd,21.5,138,22.0,6256.660130718954,-97.79435038635953
1_split0_strawberry_dyson_lincoln_tbd__074_2.pcd,17.4,2979,17.0,5180.464566929134,-42.49550476578424
1_split0_strawberry_dyson_lincoln_tbd__075_2.pcd,23.9,4996,24.0,6770.083333333333,-26.204748833716963
1_split0_strawberry_dyson_lincoln_tbd__075_3.pcd,23.9,3824,24.0,6770.083333333333,-43.51620487192427
1_split0_strawberry_dyson_lincoln_tbd__076_2.pcd,22.3,3663,22.0,6256.660130718954,-41.4543874292388
1_split0_strawberry_dyson_lincoln_tbd__077_2.pcd,21.8,5291,22.0,6256.660130718954,-15.434115175567156
1_split0_strawberry_dyson_lincoln_tbd__077_3.pcd,21.8,3121,22.0,6256.660130718954,-50.117156201652826
1_split0_strawberry_dyson_lincoln_tbd__078_2.pcd,12.6,3651,13.0,4787.177777777778,-23.733770303078135
1_split0_strawberry_dyson_lincoln_tbd__079_2.pcd,14.9,3881,15.0,5259.9473684210525,-26.21599175497053
1_split0_strawberry_dyson_lincoln_tbd__080_3.pcd,29.4,5205,29.0,6919.952380952381,-24.782719396637738
1_split0_strawberry_dyson_lincoln_tbd__081_2.pcd,19.1,4048,19.0,5906.920863309352,-31.47021783982208
1_split0_strawberry_dyson_lincoln_tbd__081_3.pcd,19.1,2295,19.0,5906.920863309352,-61.14727024268569
1_split0_strawberry_dyson_lincoln_tbd__082_3.pcd,15.5,4279,16.0,5286.2164179104475,-19.0536356872915
1_split0_strawberry_dyson_lincoln_tbd__085_2.pcd,22.0,5275,22.0,6256.660130718954,-15.689842667003735
1_split0_strawberry_dyson_lincoln_tbd__086_2.pcd,22.3,5239,22.0,6256.660130718954,-16.26522952273603
1_split0_strawberry_dyson_lincoln_tbd__087_3.pcd,26.0,4790,26.0,7207.375,-33.5402972649543
1_split0_strawberry_dyson_lincoln_tbd__088_2.pcd,15.4,3644,15.0,5259.9473684210525,-30.72174026155955
1_split0_strawberry_dyson_lincoln_tbd__088_3.pcd,15.4,3659,15.0,5259.9473684210525,-30.436566305446323
1_split0_strawberry_dyson_lincoln_tbd__090_2.pcd,24.5,5517,24.0,6770.083333333333,-18.50912716485518
1_split0_strawberry_dyson_lincoln_tbd__090_3.pcd,24.5,4419,24.0,6770.083333333333,-34.727539050479436
1_split0_strawberry_dyson_lincoln_tbd__091_2.pcd,17.5,4073,18.0,5842.583333333333,-30.287686668283147
1_split0_strawberry_dyson_lincoln_tbd__091_3.pcd,17.5,2379,18.0,5842.583333333333,-59.2817104306029
1_split0_strawberry_dyson_lincoln_tbd__092_2.pcd,11.9,3098,12.0,4447.119047619048,-30.336922245006132
1_split0_strawberry_dyson_lincoln_tbd__092_3.pcd,11.9,3391,12.0,4447.119047619048,-23.74838713131562
1_split0_strawberry_dyson_lincoln_tbd__093_2.pcd,22.4,5085,22.0,6256.660130718954,-18.726606627813076
1_split0_strawberry_dyson_lincoln_tbd__094_2.pcd,9.2,3182,9.0,3774.3333333333335,-15.693720745385503
1_split0_strawberry_dyson_lincoln_tbd__094_3.pcd,9.2,3201,9.0,3774.3333333333335,-15.19032058641703
1_split0_strawberry_dyson_lincoln_tbd__097_2.pcd,19.1,4856,19.0,5906.920863309352,-17.791348278205536
1_split0_strawberry_dyson_lincoln_tbd__098_2.pcd,23.9,5111,24.0,6770.083333333333,-24.506099137135188
1_split0_strawberry_dyson_lincoln_tbd__098_3.pcd,23.9,5678,24.0,6770.083333333333,-16.131017589640695
1_split0_strawberry_dyson_lincoln_tbd__099_2.pcd,18.8,3897,19.0,5906.920863309352,-34.02654123561923
1_split0_strawberry_dyson_lincoln_tbd__100_2.pcd,16.0,4324,16.0,5286.2164179104475,-18.202365204919012
1_split0_strawberry_dyson_lincoln_tbd__102_1.pcd,25.8,3661,26.0,7207.375,-49.20480757557363
1_split0_strawberry_dyson_lincoln_tbd__102_2.pcd,25.8,3085,26.0,7207.375,-57.19662151615532
1_split0_strawberry_dyson_lincoln_tbd__103_2.pcd,12.7,3872,13.0,4787.177777777778,-19.11727160052548
1_split0_strawberry_dyson_lincoln_tbd__103_3.pcd,12.7,3654,13.0,4787.177777777778,-23.671102899876058
1_split0_strawberry_dyson_lincoln_tbd__104_2.pcd,28.5,3877,28.0,5935.125,-34.67702870621933
1_split0_strawberry_dyson_lincoln_tbd__104_3.pcd,28.5,4146,28.0,5935.125,-30.144689454729264
1_split0_strawberry_dyson_lincoln_tbd__105_2.pcd,23.1,4792,23.0,5770.346534653465,-16.954727567539738
1_split0_strawberry_dyson_lincoln_tbd__106_2.pcd,30.6,5572,31.0,6621.375,-15.848294349738538
1_split0_strawberry_dyson_lincoln_tbd__107_3.pcd,16.1,2826,16.0,5286.2164179104475,-46.54021370700766
1_split0_strawberry_dyson_lincoln_tbd__108_2.pcd,14.0,3869,14.0,4591.616279069767,-15.737732318001205
1_split0_strawberry_dyson_lincoln_tbd__109_2.pcd,19.7,4108,20.0,5588.3515625,-26.489950496918112
1_split0_strawberry_dyson_lincoln_tbd__109_3.pcd,19.7,2874,20.0,5588.3515625,-48.571596331096075
1_split0_strawberry_dyson_lincoln_tbd__110_2.pcd,23.9,4424,24.0,6770.083333333333,-34.65368471584544
1_split0_strawberry_dyson_lincoln_tbd__111_2.pcd,17.7,3835,18.0,5842.583333333333,-34.36122719687353
1_split0_strawberry_dyson_lincoln_tbd__111_3.pcd,17.7,4913,18.0,5842.583333333333,-15.910484802670046
1_split0_strawberry_dyson_lincoln_tbd__112_2.pcd,17.5,4722,18.0,5842.583333333333,-19.17958665544636
1_split0_strawberry_dyson_lincoln_tbd__112_3.pcd,17.5,4744,18.0,5842.583333333333,-18.80304089229935
1_split0_strawberry_dyson_lincoln_tbd__113_3.pcd,5.3,457,5.0,2677.0,-82.9286514755323
1_split0_strawberry_dyson_lincoln_tbd__114_2.pcd,15.1,3799,15.0,5259.9473684210525,-27.774942715056184
1_split0_strawberry_dyson_lincoln_tbd__114_3.pcd,15.1,3728,15.0,5259.9473684210525,-29.124766107325467
1_split0_strawberry_dyson_lincoln_tbd__115_1.pcd,21.8,3811,22.0,6256.660130718954,-39.08890813345047
1_split0_strawberry_dyson_lincoln_tbd__115_2.pcd,21.8,2232,22.0,6256.660130718954,-64.3260149445976
1_split0_strawberry_dyson_lincoln_tbd__117_2.pcd,20.2,4041,20.0,5588.3515625,-27.68887292065387
1_split0_strawberry_dyson_lincoln_tbd__117_3.pcd,20.2,4046,20.0,5588.3515625,-27.599401097987027
1_split0_strawberry_dyson_lincoln_tbd__118_2.pcd,19.4,4276,19.0,5906.920863309352,-27.610338805108505
1_split0_strawberry_dyson_lincoln_tbd__118_3.pcd,19.4,4123,19.0,5906.920863309352,-30.20052078892946
1_split0_strawberry_dyson_lincoln_tbd__119_2.pcd,19.54,4140,20.0,5588.3515625,-25.917330831850293
1_split0_strawberry_dyson_lincoln_tbd__119_3.pcd,19.54,2129,20.0,5588.3515625,-61.902897908456346
1_split0_strawberry_dyson_lincoln_tbd__120_3.pcd,27.87,1615,28.0,5935.125,-72.78911564625851
1_split0_strawberry_dyson_lincoln_tbd__121_2.pcd,23.59,5496,24.0,6770.083333333333,-18.81931537031794
1_split0_strawberry_dyson_lincoln_tbd__123_3.pcd,20.78,2256,21.0,5884.586206896552,-61.66255500928786
1_split0_strawberry_dyson_lincoln_tbd__124_1.pcd,22.77,3519,23.0,5770.346534653465,-39.015794305127784
1_split0_strawberry_dyson_lincoln_tbd__124_2.pcd,22.77,2647,23.0,5770.346534653465,-54.127538370466965
1_split0_strawberry_dyson_lincoln_tbd__124_3.pcd,22.77,4310,23.0,5770.346534653465,-25.30777875961942
1_split0_strawberry_dyson_lincoln_tbd__125_2.pcd,17.43,4013,17.0,5180.464566929134,-22.53590487582818
1_split0_strawberry_dyson_lincoln_tbd__125_3.pcd,17.43,2711,17.0,5180.464566929134,-47.668785975173236
1_split0_strawberry_dyson_lincoln_tbd__126_2.pcd,23.3,4774,23.0,5770.346534653465,-17.266667238613252
1_split0_strawberry_dyson_lincoln_tbd__127_2.pcd,16.82,4282,17.0,5180.464566929134,-17.343320378344448
1_split0_strawberry_dyson_lincoln_tbd__128_2.pcd,24.24,5428,24.0,6770.083333333333,-19.823734321340204
1_split0_strawberry_dyson_lincoln_tbd__129_2.pcd,20.89,4655,21.0,5884.586206896552,-20.895032610033223
1_split0_strawberry_dyson_lincoln_tbd__129_3.pcd,20.89,2890,21.0,5884.586206896552,-50.88864537980581
1_split0_strawberry_dyson_lincoln_tbd__130_2.pcd,16.42,3900,16.0,5286.2164179104475,-26.223224861050916
1_split0_strawberry_dyson_lincoln_tbd__130_3.pcd,16.42,3147,16.0,5286.2164179104475,-40.46781759941724
1_split0_strawberry_dyson_lincoln_tbd__131_2.pcd,19.02,4952,19.0,5906.920863309352,-16.166136053062978
1_split0_strawberry_dyson_lincoln_tbd__131_3.pcd,19.02,4473,19.0,5906.920863309352,-24.275267884763874
1_split0_strawberry_dyson_lincoln_tbd__132_2.pcd,14.7,3745,15.0,5259.9473684210525,-28.801568957063807
1_split0_strawberry_dyson_lincoln_tbd__132_3.pcd,14.7,4266,15.0,5259.9473684210525,-18.89652688139765
1_split0_strawberry_dyson_lincoln_tbd__133_2.pcd,12.01,3006,12.0,4447.119047619048,-32.40567729776902
1_split0_strawberry_dyson_lincoln_tbd__133_3.pcd,12.01,2116,12.0,4447.119047619048,-52.418633786453505
1_split0_strawberry_dyson_lincoln_tbd__134_2.pcd,16.71,3933,17.0,5180.464566929134,-24.080167923406986
1_split0_strawberry_dyson_lincoln_tbd__135_1.pcd,18.17,3614,18.0,5842.583333333333,-38.1438005448503
1_split0_strawberry_dyson_lincoln_tbd__135_2.pcd,18.17,3959,18.0,5842.583333333333,-32.23887835004493
1_split0_strawberry_dyson_lincoln_tbd__136_2.pcd,12.97,3577,13.0,4787.177777777778,-25.279566248729246
1_split0_strawberry_dyson_lincoln_tbd__136_3.pcd,12.97,2972,13.0,4787.177777777778,-37.91749256114714
1_split0_strawberry_dyson_lincoln_tbd__137_1.pcd,25.53,5805,26.0,7207.375,-19.457500130075097
1_split0_strawberry_dyson_lincoln_tbd__137_2.pcd,25.53,3424,26.0,7207.375,-52.493106019875476
1_split0_strawberry_dyson_lincoln_tbd__137_3.pcd,25.53,1018,26.0,7207.375,-85.87557883418026
1_split0_strawberry_dyson_lincoln_tbd__138_2.pcd,21.4,3277,21.0,5884.586206896552,-44.31214218326077
1_split0_strawberry_dyson_lincoln_tbd__139_2.pcd,12.25,3167,12.0,4447.119047619048,-28.78535595543396
1_split0_strawberry_dyson_lincoln_tbd__139_3.pcd,12.25,3438,12.0,4447.119047619048,-22.69152313696936
1_split0_strawberry_dyson_lincoln_tbd__140_2.pcd,19.13,4171,19.0,5906.920863309352,-29.38791467635817
1_split0_strawberry_dyson_lincoln_tbd__140_3.pcd,19.13,3501,19.0,5906.920863309352,-40.730541664332286
1_split0_strawberry_dyson_lincoln_tbd__141_2.pcd,23.59,5620,24.0,6770.083333333333,-16.98772787139498
1_split0_strawberry_dyson_lincoln_tbd__142_3.pcd,24.6,2235,25.0,5660.064516129032,-60.51281759013347
1_split0_strawberry_dyson_lincoln_tbd__143_2.pcd,27.1,5501,27.0,7008.030303030303,-21.504334853955417
1_split0_strawberry_dyson_lincoln_tbd__145_2.pcd,16.7,3390,17.0,5180.464566929134,-34.561853358848126
1_split0_strawberry_dyson_lincoln_tbd__145_3.pcd,16.7,4191,17.0,5180.464566929134,-19.09991959496534
1_split0_strawberry_dyson_lincoln_tbd__146_2.pcd,16.3,4429,16.0,5286.2164179104475,-16.216067412716537
1_split0_strawberry_dyson_lincoln_tbd__147_2.pcd,19.2,4555,19.0,5906.920863309352,-22.88706577578794
1_split0_strawberry_dyson_lincoln_tbd__148_2.pcd,13.1,3764,13.0,4787.177777777778,-21.37329811580008
1_split0_strawberry_dyson_lincoln_tbd__149_2.pcd,17.7,4251,18.0,5842.583333333333,-27.241089130093705
1_split0_strawberry_dyson_lincoln_tbd__149_3.pcd,17.7,4178,18.0,5842.583333333333,-28.49053643508151
1_split0_strawberry_dyson_lincoln_tbd__150_2.pcd,11.6,3435,12.0,4447.119047619048,-22.758982540863805
1_split0_strawberry_dyson_lincoln_tbd__151_2.pcd,12.8,3914,13.0,4787.177777777778,-18.23992795569647
1_split0_strawberry_dyson_lincoln_tbd__152_2.pcd,13.0,3152,13.0,4787.177777777778,-34.15744836902281
1_split0_strawberry_dyson_lincoln_tbd__152_3.pcd,13.0,3888,13.0,4787.177777777778,-18.78304545011443
1_split0_strawberry_dyson_lincoln_tbd__154_2.pcd,12.8,2848,13.0,4787.177777777778,-40.50774522683279
1_split0_strawberry_dyson_lincoln_tbd__155_2.pcd,11.5,3419,12.0,4447.119047619048,-23.118766028300826
1_split0_strawberry_dyson_lincoln_tbd__155_3.pcd,11.5,2733,12.0,4447.119047619048,-38.54448305216325
1_split0_strawberry_dyson_lincoln_tbd__156_2.pcd,10.5,2873,10.0,3807.6666666666665,-24.54696664624004
1_split0_strawberry_dyson_lincoln_tbd__156_3.pcd,10.5,2143,10.0,3807.6666666666665,-43.71881292129913
1_split0_strawberry_dyson_lincoln_tbd__159_1.pcd,18.7,4570,19.0,5906.920863309352,-22.633126365609414
1_split0_strawberry_dyson_lincoln_tbd__159_2.pcd,18.7,3180,19.0,5906.920863309352,-46.16484504215272
1_split0_strawberry_dyson_lincoln_tbd__159_3.pcd,18.7,1292,19.0,5906.920863309352,-78.12735213662305
1_split0_strawberry_dyson_lincoln_tbd__160_2.pcd,13.9,3777,14.0,4591.616279069767,-17.741384069550413
1_split0_strawberry_dyson_lincoln_tbd__162_2.pcd,18.1,3968,18.0,5842.583333333333,-32.084836901484785
1_split0_strawberry_dyson_lincoln_tbd__162_3.pcd,18.1,3131,18.0,5842.583333333333,-46.41069161757784
1_split0_strawberry_dyson_lincoln_tbd__163_2.pcd,17.3,3884,17.0,5180.464566929134,-25.026029040049004
1_split0_strawberry_dyson_lincoln_tbd__164_3.pcd,23.3,2558,23.0,5770.346534653465,-55.66990674410823
1_split0_strawberry_dyson_lincoln_tbd__165_2.pcd,10.4,3104,10.0,3807.6666666666665,-18.480259126324082
1_split0_strawberry_dyson_lincoln_tbd__165_3.pcd,10.4,2510,10.0,3807.6666666666665,-34.08036417753655
1_split0_strawberry_dyson_lincoln_tbd__166_2.pcd,19.6,4339,20.0,5588.3515625,-22.35635228970976
1_split0_strawberry_dyson_lincoln_tbd__167_2.pcd,21.8,3444,22.0,6256.660130718954,-44.954657468276935
1_split0_strawberry_dyson_lincoln_tbd__167_3.pcd,21.8,2162,22.0,6256.660130718954,-65.44482271963263
1_split0_strawberry_dyson_lincoln_tbd__168_2.pcd,24.2,5125,24.0,6770.083333333333,-24.299307000160013
1_split0_strawberry_dyson_lincoln_tbd__168_3.pcd,24.2,4823,24.0,6770.083333333333,-28.760108812053026
1_split0_strawberry_dyson_lincoln_tbd__169_2.pcd,10.6,3275,11.0,4041.072463768116,-18.95715730506323
1_split0_strawberry_dyson_lincoln_tbd__169_3.pcd,10.6,3243,11.0,4041.072463768116,-19.7490263023878
1_split0_strawberry_dyson_lincoln_tbd__170_2.pcd,7.1,2520,7.0,3226.777777777778,-21.903515719155678
1_split0_strawberry_dyson_lincoln_tbd__171_1.pcd,26.7,5725,27.0,7008.030303030303,-18.308001643136663
1_split0_strawberry_dyson_lincoln_tbd__171_2.pcd,26.7,3931,27.0,7008.030303030303,-43.90720601906904
1_split0_strawberry_dyson_lincoln_tbd__172_2.pcd,11.5,3174,12.0,4447.119047619048,-28.627950679680264
1_split0_strawberry_dyson_lincoln_tbd__172_3.pcd,11.5,1472,12.0,4447.119047619048,-66.89991915579374
1_split0_strawberry_dyson_lincoln_tbd__173_2.pcd,11.8,3243,12.0,4447.119047619048,-27.0763843901081
1_split0_strawberry_dyson_lincoln_tbd__174_2.pcd,19.1,4513,19.0,5906.920863309352,-23.598096124287807
1_split0_strawberry_dyson_lincoln_tbd__174_3.pcd,19.1,2934,19.0,5906.920863309352,-50.32945136908052
1_split0_strawberry_dyson_lincoln_tbd__175_2.pcd,17.5,4514,18.0,5842.583333333333,-22.73965568883627
1_split0_strawberry_dyson_lincoln_tbd__175_3.pcd,17.5,4639,18.0,5842.583333333333,-20.600191125500988
1_split0_strawberry_dyson_lincoln_tbd__176_2.pcd,18.6,4425,19.0,5906.920863309352,-25.08787399733515
1_split0_strawberry_dyson_lincoln_tbd__179_2.pcd,21.9,4941,22.0,6256.660130718954,-21.028154050742266
1_split0_strawberry_dyson_lincoln_tbd__179_3.pcd,21.9,4888,22.0,6256.660130718954,-21.875251366125923
1_split0_strawberry_dyson_lincoln_tbd__180_2.pcd,20.6,4859,21.0,5884.586206896552,-17.428348754490106
1_split0_strawberry_dyson_lincoln_tbd__180_3.pcd,20.6,2422,21.0,5884.586206896552,-58.84162598958119
1_split0_strawberry_dyson_lincoln_tbd__181_2.pcd,11.6,3399,12.0,4447.119047619048,-23.568495387597107
1_split0_strawberry_dyson_lincoln_tbd__181_3.pcd,11.6,1554,12.0,4447.119047619048,-65.056028782679
1_split0_strawberry_dyson_lincoln_tbd__183_1.pcd,19.2,4667,19.0,5906.920863309352,-20.990984846454953
1_split0_strawberry_dyson_lincoln_tbd__183_2.pcd,19.2,4575,19.0,5906.920863309352,-22.548479895549907
1_split0_strawberry_dyson_lincoln_tbd__184_2.pcd,11.8,3599,12.0,4447.119047619048,-19.0712017946343
1_split0_strawberry_dyson_lincoln_tbd__186_2.pcd,7.7,2781,8.0,3975.866666666667,-30.052986350984273
1_split0_strawberry_dyson_lincoln_tbd__187_2.pcd,11.0,3330,11.0,4041.072463768116,-17.59613246591162
1_split0_strawberry_dyson_lincoln_tbd__188_3.pcd,20.6,872,21.0,5884.586206896552,-85.18162587238432
1_split0_strawberry_dyson_lincoln_tbd__189_2.pcd,16.7,4351,17.0,5180.464566929134,-16.01139349980773
1_split0_strawberry_dyson_lincoln_tbd__189_3.pcd,16.7,3488,17.0,5180.464566929134,-32.67013112556409
1_split0_strawberry_dyson_lincoln_tbd__190_2.pcd,14.6,4016,15.0,5259.9473684210525,-23.64942614995147
1_split0_strawberry_dyson_lincoln_tbd__191_3.pcd,23.3,3580,23.0,5770.346534653465,-37.95866541982309
1_split0_strawberry_dyson_lincoln_tbd__192_2.pcd,17.3,3962,17.0,5180.464566929134,-23.52037256865967
1_split0_strawberry_dyson_lincoln_tbd__195_2.pcd,13.4,3523,13.0,4787.177777777778,-26.407579506366545
1_split0_strawberry_dyson_lincoln_tbd__196_2.pcd,12.0,3423,12.0,4447.119047619048,-23.028820156441572
1_split0_strawberry_dyson_lincoln_tbd__198_3.pcd,16.4,3294,16.0,5286.2164179104475,-37.687000690333775
1_split0_strawberry_dyson_lincoln_tbd__199_2.pcd,11.2,3307,11.0,4041.072463768116,-18.165288307738656
1_split0_strawberry_dyson_lincoln_tbd__200_3.pcd,29.2,5054,29.0,6919.952380952381,-26.964815337292436
1_split0_strawberry_dyson_lincoln_tbd__201_3.pcd,36.4,5530,36.0,8118.0,-31.879773343187978
1_split0_strawberry_dyson_lincoln_tbd__202_1.pcd,10.0,3027,10.0,3807.6666666666665,-20.502494966296066
1_split0_strawberry_dyson_lincoln_tbd__202_2.pcd,10.0,2669,10.0,3807.6666666666665,-29.904578482009974
1_split0_strawberry_dyson_lincoln_tbd__202_3.pcd,10.0,928,10.0,3807.6666666666665,-75.62811870787009
1_split0_strawberry_dyson_lincoln_tbd__204_2.pcd,11.7,3554,12.0,4447.119047619048,-20.083092853050932
1_split0_strawberry_dyson_lincoln_tbd__205_2.pcd,9.0,2956,9.0,3774.3333333333335,-21.68153316258942
1_split0_strawberry_dyson_lincoln_tbd__206_2.pcd,21.0,4451,21.0,5884.586206896552,-24.361716465576343
1_split0_strawberry_dyson_lincoln_tbd__206_3.pcd,21.0,2751,21.0,5884.586206896552,-53.25074859510234
1_split0_strawberry_dyson_lincoln_tbd__207_2.pcd,14.1,3144,14.0,4591.616279069767,-31.52737927314443
1_split0_strawberry_dyson_lincoln_tbd__207_3.pcd,14.1,3837,14.0,4591.616279069767,-16.434654666366146
1_split0_strawberry_dyson_lincoln_tbd__208_2.pcd,11.8,3735,12.0,4447.119047619048,-16.013042151419594
1_split0_strawberry_dyson_lincoln_tbd__209_2.pcd,15.0,4294,15.0,5259.9473684210525,-18.364202163319625
1_split0_strawberry_dyson_lincoln_tbd__209_3.pcd,15.0,3853,15.0,5259.9473684210525,-26.748316473048554
1_split0_strawberry_dyson_lincoln_tbd__210_2.pcd,19.4,4751,19.0,5906.920863309352,-19.568924149455214
